1|Волк|wolf.jpg|Волк - хищное млекопитающее животное. Наиболее крупное животное в своём семействе: длина его тела (без хвоста) может достигать 160 см, хвоста до 52 см, высота в холке до 90 см; масса тела до 86 кг. В условиях Карелии основную пищу волков зимой составляют лоси. Большое значение в их питании имеют также домашние животные, особенно овцы и собаки. В меньшем количестве едят они зайцев, мышевидных грызунов, тетеревиных птиц и падаль. Помимо лосей и северных оленей, они в большом количестве истребляют боровую дичь, ловят зайцев, мышей и полевок, лягушек и ящериц, не отказываются даже от растительной пищи (ягод и грибов) и насекомых. Волки могут долго (до 10 и более суток) голодать, но в то же время они чрезвычайно прожорливы и за один раз способны съесть несколько килограммов мяса. Гон волков в Карелии проходит во второй половине февраля — марте и продолжается 10 — 15 дней.|опасные|Лахденпохский район, Питкярантский район, Пудожский район, Медвежьегорский район, Суоярвский район, Муезерский район|15 сентября - 28 (29) февраля|Охота зимой с флажками<br/>Опытный обкладчик обходит возможное место дневки волков и определяет по количеству входных и выходных следов наличие зверей в окладе. Сразу после этого несколько охотников зафлаживают (натягивают шнур с флажками) этот оклад. Размеры флажков: ширина – 10-15см, длина – 25-30см, расстояние между ними от 55 до 90 см. для удобства шнур с флажками наматывается на катушки по 400 – 500м на каждую. На охоте надо иметь с собой от 4 до 6 км флажков. Флажки вешают на высоте 25 – 35 см от поверхности снега в хорошо просматриваемых местах. Форма оклада должна быть овальной, без острых углов, шириной не менее 2/3 длины. Нормальным считается оклад в 4 – 5 км по окружности. Затем внутри оклада, в 30 – 40 метрах от линии флажков, ставят стрелков в местах наиболее вероятного появления зверей. И к своей работе приступают загонщики, им не рекомендуется поднимать большой шум в окладе. Успеху охоты с флажками способствует выкладка привады. Она позволяет удержать волков в местах, удобных для охоты.<br/>Охота нагоном<br/>После определения места днёвки волка, 2 загонщика остаются и дожидаются волка у входного следа, остальные (2-3 человека) идут с противоположной стороны в место лёжки волка. Они начинают создавать шум, постукивая по деревьям палкой, кашляя. Услышав шум загонщиков, волк поднимается и возвращается (при правильном загоне) всегда своим обратным следом и выходит на охотников, ждущих его у входного следа. При охоте таким способом главное условие, чтобы ветер дул от зверя. Главная цель охоты на волков летом — это молодые волчата, пока они не выросли их можно нейтрализовать. Поскольку волки, логова которых расположены недалеко от жилища людей, доставляют много хлопот жителям деревень и сёл. Они часто нападают на домашних животных, нанося большой ущерб человеку, поэтому охота на волков летом разрешается.<br/>Облава на логове<br/>Начинаю облаву, прежде всего, нужно определить точное место, где расположено логово. Опытные охотники могут определять его по волчьему вою. После определения месторасположения логова, и убедившись в наличии в нём хищников, этот участок обносится флажками со всех сторон. Выставляются охотники на номера. Периметр оклада не надо делать большим 2,5 км. Поскольку волчьи логова располагаются в труднодоступных местах, выгнать семейство из логова довольно сложно. Поэтому нужно, чтобы 10-15 загонщиков прочесали обложенный участок и постарались поднять волков и вывели их на стрелков.<br/>Охота на вабу<br/>Охотясь таким способом, количество охотников, должно быть небольшим. Примерно три или четыре человека. В первую очередь устанавливают место, где может находиться хищник и его логово. Найти место логова помогут волчьи следы, поиск лазов зверей и другие способы. Главным действующим лицом в охоте на вабу является вабильщик — человек, который подражает голосу волков. Ранним утром, практически в темноте, когда волка нет в логове, вабильщик подходит к норе на расстояние 300 — 450 м и начинает подвывать, подражая голосу самца. Остальные участники охоты занимают место у лазов в непосредственной близости от вабильщика и ждут приближения хищника. Охота этим способом в основном ведётся на маленьких волчат, которые услышав голос самца, выходят из логова. Стрельба ведётся по команде распорядителя охоты. Каждый охотник стреляет в того зверя, который расположен ближе к нему. Если волчата не реагируют на голос самца или самки, то охоту можно попробовать вечером на зорьке. В том случае, если не удалось подстрелить всех волчат, вабильщик меняет своё место и продолжает подвывку. Такой способ охоты требует соблюдения тишины, что бы ни спугнуть волчат. Для того чтобы подстрелить взрослого зверя, его выманивают из норы следующим способом: вабильщик начинает подвывать на расстояние 400-500 м, и постепенно подходит к норе на расстояние около 100 м. Волк слышит голос вабильщика и принимает его за другого волка, который нарушил границы его территории, и выходит, что бы прогнать нарушителя. В это время волк не так осторожен. И как только хищник подойдет на расстояние выстрела, охотник производит выстрел.<br/>Охота из засады<br/>Принцип этого способа простой. Выставляют приманку на волчьей тропе и ждут хищника. В качестве приманки можно использовать падаль. Приваду надо оставлять в тех местах, где появление человеческих следов будет естественным явлением. Такими местами могут быть места рядом с дорогой или рядом с поселением. Засаду устраивают недалеко от привады, тщательно маскируясь. Лучшее время для данного способа охоты — это ночи, в которые ветер дует от привады к примерному месту выхода волков. Необыкновенный запах приманки привлекает их, но к приваде волки подойдут только после полуночи. Охоту желательно проводить в ненастную ночь, в такие ночи хищники несколько теряют бдительность. Если охота производится в лунную ночь, то лучше использовать время до восхода луны или сразу после захода. Данный вид охоты производится ночью, и поэтому желательно оборудовать ружьё фонариком. С фонариком будет легче ориентироваться в ночном лесу, но и одновременно, во время прицеливания, его свет может ослепить хищника и он будет на какое, то время ослеплён, что поможет охотнику тщательней прицелиться и поразить зверя&
2|Рысь|lynx.jpg|Длина тела рыси составляет 80—130 см и 70 см в холке. Обычно, рысь размером с крупную собаку. Вес взрослых самцов от 18 до 25 кг, очень редко может достигать и 30 кг; самки весят в среднем 18 кг. Туловище, как у всех рысей, короткое, плотное. Лапы крупные, зимой хорошо опушенные, что позволяет рыси ходить по снегу, не проваливаясь. На ушах длинные кисточки. Хвост короткий, как бы обрубленный.<br/>Существует множество вариантов окраса рыси, зависящих от географического района, — от рыжевато-бурого до палево-дымчатого, с более или менее выраженной пятнистостью на спине, боках и лапах. Рысь отдает предпочтение глухим темнохвойным лесам, тайге, хотя встречается в самых разных насаждениях, включая горные леса; иногда заходит в лесостепь и лесотундру. Она отлично лазает по деревьям и скалам, хорошо плавает. Также она отлично выживает среди снегов (за полярным кругом), ловя пушных зверей.|опасные|Приладожье, Прионежье, Заонежье|1 ноября - 28 (29) февраля|Охота на рысь с лайками<br/>Поздней осенью или в начале зимы очень результативной бывает охота со лайками. Снег в это время еще не такой глубокий, и поэтому собакам легче преследовать рысь. А когда наметет большие сугробы, рысь часто удирает, так как ее лапы более широкие, чем у лаек и поэтому она практически не проваливается. Для охоты на рысь используют двух лаек, но можно и одну. Две собаки, действуя в смычке, чувствуют себя более уверенно, и рысь не стремится вступать с ними в драку, она предпочитает укрыться от них на дереве. Но если ее преследует только одна собака, то рысь нередко вступает с ней в кровавое сражение, нанося серьезные травмы. Найдя след рыси, охотник идет по нему, держа лайку на поводке. Затем спускаются собаки с командой «ищи» и охотник идет за ними по следу. Рысь практически всегда для дневки выбирает глухие участки леса. Через некоторое время, обнаружив рысь, лайки подают голос и начинают гнать ее. Лайки могут либо остановить зверя, не давая ему хода, или загнать его на дерево. В любом случае охотнику надо поспешить на голос собаки, чтобы избежать схватки лайки со зверем. Бывает ,что рысь нападает на собаку, которая не дает ей убежать. Схватка может закончится как победой собаки, так и рыси. Подходить охотнику к зверю надо осторожно, чтобы не провоцировать рысь на нападение. Подойдя бесшумно на расстояние, необходимое для выстрела, нужно метиться в переднюю часть туловища зверя, для того, чтобы сразу убить хищника, так как раненая рысь может покалечить собаку.<br/>Облавная охота на рысь<br/>Как и для всех облавных охот, здесь нам нужен коллектив охотников. Обнаружив след рыси, бригада идет по нему на место предполагаемой дневки рыси. Обойдя по кругу участок леса, ищут выходные следы. Если след обнаружен, делают круг шире. Если следов не обнаружено, то значит где-то здесь находится лежка. Этот район обвешивают флажками, руководитель охоты расставляет номера. Номера лучше всего ставить в районе входных следов, но с учетом направления ветра. Ветер должен дуть на охотников. Охотникам также нужно помнить о маскировке, не шуметь, прятаться за деревьями и другими укрытиями. С противоположной стороны идут загонщики, которые должны поднять рысь.<br/>Охота на рысь с капканами<br/>На рысиных тропах можно устанавливать капканы. Для рыси нужны капканы №5. Чтобы от капкана не пахло железом, его предварительно варят в воде с добавлением хвои. После этого его берут только в перчатках и носят в чистом мешке без посторонних запахов. Где следует устанавливать капкан? Если рысь зарезала крупное копытное (лося, косулю и т. д.), то за один раз она его не съест, а будет приходить к добыче на протяжении нескольких дней. Ходит она к туше животного, как правило, по одной и той же тропе. Задача охотника – найти это место. После того, как вам посчастливилось обнаружить жировку рыси, вам нужно правильно установить капкан. Во-первых, определите место установки. Его лучше ставить вблизи кустов или деревьев. Подойдя к тропе, нужно аккуратно вырезать верхний слой снега, чтобы сохранить отпечатки лапы зверя. Затем, положив его в сторону, уплотнить нижний слой снега лопатой, поставив на него заряженный капкан. На него сверху укладывают верхний слой, который мы недавно сняли (с отпечатком лапы). Нужно сделать так, чтобы выглядело все ровно. Установив капкан, уходить нужно, заметая свои следы с помощью лопатки и веток деревьев. Проверять капкан следует каждый день, желательно утром.&
3|Белка обыкновенная|squirrel.jpg|Это мелкий зверек типично беличьего облика, с вытянутым стройным телом и пушистым хвостом с «расчёсом». Длина её тела 19,5—28 см, хвоста — 13—19 см (примерно 2/3 длины тела); вес 250—340 г. Голова округлая, с большими чёрными глазами. Уши длинные, с кисточками, особенно выраженными в зимний период. На морде, передних лапах и брюхе растут чувствительные вибриссы. Задние конечности заметно длиннее передних. Пальцы с цепкими острыми когтями. Волосы по бокам хвоста достигают длины в 3—6 см, отчего хвост имеет уплощённую форму.<br/>Зимний мех у белки высокий, мягкий и пушистый, летний — более жёсткий, редкий, и короткий. Белка — типичный древесный зверек. Она отличается изумительным проворством и ловкостью в лазаньи и прыжках по деревьям. Передвигается по земле прыжками длиной от 30 до 100 см, с силой отталкиваясь задними лапами и оставляя четко отпечатанные следы всех четырех лап. У одного зверька бывает несколько гнезд (чаще всего 2 — 4). Располагаются они группами на расстоянии 30 — 150 м друг от друга, на участке в 2 — 5 га. Пища белок весьма разнообразна, изменяется в зависимости от условий года, сезона и местности. Основной корм — семена хвойных деревьев, преимущественно ели, и в несколько меньшей степени (главным образом в северных районах) — сосны.|промысловые|Медвежьегорский район, Пудожский район, Прионежский район, Олонецкий район, Сортавальский район|1 ноября - 28 (29) февраля|Охота на белку с лайкой<br/>На охоту можно выходить сразу же, как только белка пережила период линьки – не только по снегу, но и по чернотропью (при ранней и быстрой линьке). К охоте приступают поутру, когда белка активнее всего. Маршрут должен проходить по местам наибольшей вероятности появления зверька: у вырубок, неподалеку от лесных дорог, у речных берегов, вдоль хвойных насаждений, по опушкам. Достигнув места предположительного обитания белок, охотник направляет лайку на поиск. Обычно у хорошо натренированной собаки это не отнимает много времени – при условии, что белки там гарантированно водятся. Что характерно, лайка не только легко обнаруживает добычу, но и умеет хорошо вести ее, преследуя с громким лаем, чтобы было слышно хозяину. Даже если зверек идет по верху, перепрыгивая с дерево на дерево, собака все равно не упускает его из виду. Вышедший на охоту стрелок должен следовать за лаем. Однако не стоит сразу же подходить к собаке, которая держит на примете белку, иначе зверь опять сорвется с места – уже испугавшись человека. И если уйдет на самую вершину, то достать ее будет просто нереально. Лучше всего попытаться рассмотреть зверька среди хвои и затем подбить выстрелом. Настоящая охотничья собака точно вычисляет дерево с белкой, несмотря на густоту насаждений. Делает она это крайне оригинально: встав на задние лапы и оперевшись передними о ствол, она царапает по нему когтями и вслушивается, улавливая малейшие звуки, какие издает белка при беспокойстве. Когда этот метод не действует, охотник использует обух топора, ударяя им по дереву, и если белка там, то она обязательно выдаст себя.<br/>Охота на белку в узерку<br/>Охоту на белку в узерку практикуют тогда, когда снега в лесу становится столько, что собака не в состоянии преодолеть его. Тогда стрелку самому приходится выслеживать добычу. Для этого он рано утром отправляется в лес на лыжах. Утро выбрано не случайно, ведь в этот момент белки покидают дупла и гнезда в поисках пищи. Лучшее время – по свежей пороше. Стрелок должен исследовать лес тихо и осторожно, двигаясь вдоль елок и сосен, и стараться не шуметь вообще, внимательно приглядываясь к деревьям. Немаловажную роль играют звуки утреннего зимнего леса: зверек может цокнуть, подав голос, зашуметь в кроне или выронить из лап шишку, которая начнет шумно падать в снег. Трудного в этом нет ничего, поскольку в морозную погоду звук грызущей орешки белки хорошо слышен на отдалении в несколько десятков метров. Однако наиболее вероятный признак присутствия белки – следы, экскременты, шелуха семян и чешуя от шишки. В данном случае – главное терпение, так как зверек, уходя от охотника, часто вынужден спускаться на землю, чтобы попасть на очередное дерево. А для этого он идет вниз по стволу и перескакивает в снег. Именно в этот момент лучше всего производить выстрел.&
4|Норка|volk.jpg|По форме и величине тела похожа на хоря, но резко отличается от него низковатым, очень густым, блестящим каштановым или рыжевато-коричневым мехом, однотонным по всей шкурке, лишь вокруг рта и на горле выделяются белые пятна. Обитает норка по берегам речек, прудов и озер. Особенно охотно селится по берегам небольших лесных речек, заросшим кустарником и водно-болотной растительностью. Живет в норах под кустом, в корнях деревьев, среди плавника и бурелома.|промысловые|Медвежьегорский район, Прионежский район, Пудожский район|1 ноября - 28 (29) февраля|Отлов капканами<br/>Норку промышляют, главным образом, с помощью ловушек и капканов, а ружейную охоту с собаками устраивают редко. Ловить норок капканами не представляет труда, т.к. этот зверек не пугливый и, к тому же, очень любопытный. По этой причине нет нужды маскировать ловушки и от охотника не требуется особого умения. Капканы на норку не ставят дальше 25-30 м от берега. При этом, следует только принимать во внимание, что жировочные следы норки не уходят далее 100 метров от её убежища. При ловле норок следует учитывать то, что молодняк при осеннем расселении уходит вдоль берега на достаточно большие расстояния. И, хотя, шкурки молодняка меньше размерами, их количество достаточно велико, что делает промысел молодняка делом вполне прибыльным. Как и других пушных зверей, норку начинают отлавливать в начале октября, когда еще нет снежного покрова. Капканы ставят в местах, где норки появляются чаще всего. При этом, следует учитывать, что норка – зверек достаточно сильный, поэтому следует использовать капканы 2-го или 3-го номера со стальным тросиком в 1,5 мм. Капканы привязывают к неподвижным предметам или к потаскам, к примеру, увесистым кускам дерева, непосильным для норки. Тросик капкана не следует делать слишком длинным, чтобы зверек, пытаясь освободиться, не имел возможности с разбега делать рывки. При установке капканов многие охотники используют то, что норка при возникновении опасности часто старается скрыться в воде. Поэтому выгоднее ставить капканы, как можно ближе к воде, привязав его к колышку, вбитому в землю. В этом случае зверек, попавший в капкан, постарается уйти в воду и, скорее всего, утонет там, не вырвавшись из западни. Чтобы попавшаяся норка утонула быстрее, к капкану можно привязать подходящий груз. Для улучшения результативности отлова норок, часто используют приманки. При этом, следует знать, что норка не любит запах протухшей рыбы, и для приманки годится только свежая рыба, рыбьи потроха или тушки птиц. Для прикорма норок приманку разбрасывают также вокруг капкана. Другой способ повышения эффективности ловли норок основан на использовании любопытства этих зверьков, которые всегда очень тщательно обследуют каждый незнакомый предмет и заглядывают во все уголки. Охотнику всего лишь следует изготовить деревянный желобок из дощечек шириной около 10 см и длиной примерно 1 метр. Такой желобок одним торцом вплотную ставится к дереву или упирается в крутой берег, а у другого конца ставится капкан. Приманка кладется в середину желобка. Если желобок длинный, то у обоих его концов можно поставить капканы.<br/>Охота на норку с собаками<br/>Отлично показывают себя при охоте на норку лайки, фокстерьеры и другие натасканные виды норных собак. Суть способа заключается в поиске и преследовании зверя. Охотник спускает собаку с поводка в месте предположительного обитания норки. Когда собака обнаруживает зверя, она начинает его гнать, в этот момент норка, пытается скрыться не только по воде, но и по суше. В конце концов, либо собака настигает зверя и при наличии достаточных габаритов и силы душит, либо, пытаясь уйти по воде, норка обнаруживается охотником, после чего осуществляется выстрел. Если зверь убит, то через непродолжительное время, он может утонуть, в этом случае, чтобы достать добычу зачастую без собаки не обойтись. Примерно таким же способом может вестись охота на норку после выпадения снега. Следы норки на снегу имеют характерную форму, а за счёт наличия длинного хвоста и приземистости, на месте, где проходил зверь, образуется своеобразный виляющий след. Обнаружив след, охотник начинает преследовать зверя и собака в этом случае будет очень полезна.&
5|Бобр|beaver.jpg|Бобр — самый крупный из грызунов Карелии. Длина его тела 70 - 100 см, хвоста 20 - 25 см, вес 15 - 30 кг. Туловище бобра массивное, неуклюжее, с толстой, короткой шеей. Голова большая, округлая, с тупой мордой и маленькими, покрытыми шерстью ушами.<br/>Бобр прекрасно приспособлен к жизни в воде. Хвост имеет характерную лопатообразную форму и покрыт крупными роговыми чешуйками. При плавании и нырянии он служит рулем, а когда бобр находится на суше, выполняет роль опоры для поддержания туловища в вертикальном положении (во время сгрызания деревьев или перетаскивании корма на передних лапах). Передние лапы вооружены большими сильными когтями, приспособленными для рытья нор, а более крупные задние конечности имеют плавательные перепонки и играют роль весел.<br/>Мех бобра очень густой, с пушистым и мягким подшерстком и блестящей грубоватой остью. Цвет его варьирует от светло-коричневого до почти черного.|промысловые|Олонецкий район, Прионежский район, Пряжинский район, Пудожский район|1 октября - 28 (29) февраля|Охота на бобра капканами<br/>При этом способе добычи бобра применятся обычные рамочные капканы без какой-либо предварительной обработки. К кольцу капкана привязывается прочный трос длиной не более 1,5 метров, а затем ловушка устанавливается в воду, причем непременно отягощается грузом так, чтобы пойманное животное тонуло. Поскольку бобр отличается не только превосходным слухом, но и большой осторожностью, не рекомендуется установка более двух ловушек на одном и том же бобровом поселении. Правильный выбор места установки при охоте на бобра капканами зависит от квалификации и навыков охотника. При удачном лове повторить установку капканов повторяют лишь через неделю-полторы. Методы установки ловушек определяются исходя из сезона и погодных условий конкретного дня. При охоте на бобра осенью, когда еще на водоеме нет ледяного покрытия, можно устанавливать капканы на перекатах, в завалах ручьев и рек, на построенных бобрами плотинах, у выходов из хаток и нор, на самих хатках и так далее. Один из решающих моментов охоты на бобра капканами – их правильное размещение на дне: грунт должен быть чистым и ровным, а сама ловушка должна быть максимально плотно к нему подогнана и закреплена, чтобы животное не сбросило ее. В зимний сезон охоты на бобра подойдет установка капканов у так называемых пахучих бобровых меток – выделяя фермент из подхвостовых желез, бобры метят свою территорию. Такие метки встречаются обычно на пучках травы и бугорках. А поскольку бобры очень агрессивно реагируют на запах чужаков из других поселений, охотники часто используют приманки – наносят на пахучие метки выделения бобровой «струи», взятой в другом месте. Подойдет этот способ и для охоты на бобра осенью.<br/>Охота на бобра с ружьем<br/>Второй наиболее применяемый из способов охоты на бобра – охота с огнестрельным оружием. Чаще всего бобры строят поселения под высоким берегом, а также предпочитают ямы и омуты – глубокие места водоема. Найти их нетрудно – возле бобровых жилищ вода всегда мутная. Обычно бобры выплывают в сумерках, причем чаще всего первыми появляются молодые животные, родившиеся в текущем и прошлом году. Они менее осторожны, чем звери постарше. После того как обнаружено поселение, охотник, осторожно передвигаясь, ищет самое подходящее место для засидки, где будет удобнее ожидать появления бобров и сподручнее управляться с ружьем. Кроме поиска места, при охоте на бобра с ружьем обязательно учитываются глубина дна у берега и растительность на нем, а также скорость течения. Именно течение влияет и на быстроту передвижения зверя, и при попадании может далеко унести бобра. Кроме того, пока животное в воде, видна только его голова, которая представляет собой весьма маленькую мишень. И здесь уже успех зависит от опыта и меткости охотника. Есть и еще одна важная деталь в охоте на бобра с ружьем – убитого зверя течение подхватывает всегда, однако, если бобер молодой, он остается на поверхности и хорошо виден, если же зверь старше – в подавляющем большинстве случаев он тонет. Поэтому глубина дна у берега и по направлению течения играет решающую роль – охотнику мало подстрелить бобра, нужно еще суметь достать его из воды. Учитывая, что сроки охоты на бобра начинаются осенью и заканчиваются зимой, становится очевидным, что вода в водоемах в это время слишком холодная для купания и ныряния за трофеем. Поэтому, если глубина приличная, стоит устраиваться так, чтобы при попадании подхваченный течением или погружающийся на дно бобер мог за что-то зацепиться – корягу, поваленное дерево. И, конечно, главное здесь – быстрота реакции, позволяющая в секунды оценить ситуацию и принять меры к вылавливанию добычи.&
6|Лисица|fox.jpg|Длина тела достигает 1,4 м, из которых 50 см приходится на хвост; высота в холке 35, редко 38 см, вес тела 6,5—8 и только иногда достигает 9 кг. Голова у нее широкая, лоб плоский, морда круто суживается, длинная и на конце острая. Глаза посажены косо, а уши, внизу широкие и на конце острые, всегда торчат кверху. Туловище от густого меха кажется толстым, но на самом деле тонкое и мускулистое. Лапы короткие и тонкие, хвост длинный и очень пушистый.<br/>Места обитания лисиц очень разнообразны. В бесснежный период они предпочитают разреженные леса, перемежаемые старыми гарями, вырубками, полями и пожнями, ягодные сосняки, опушки смешанных лесов, берега водоемов, луга, лиственные и смешанные леса в поймах рек. Редко удается встретить их в густых ельниках и больших массивах лишайниковых сосняков. Избегают моховых болот.|промысловые|Лахденпохский район, Сортавальский район, Прионежский район|15 сентября - 28 (29) февраля|Охота на лисиц с манком<br/>Учитывая, что лисица чуткий и осторожный зверь, самым важным обстоятельством при охоте с манком является маскировка. Необходимо помнить, что лиса идет исключительно против ветра - значит, охотник должен находиться в тылу, а двигаться против ветра, иначе зверь учует человека даже на большом расстоянии. Кроме того, лисица обладает отличным зрением, так что при охоте на открытом пространстве придется тщательно поработать над маскировкой всех элементов одежды. Нельзя будет выдать себя и малейшим движением ствола. Особенно важно это для светлого времени суток - утром и днем зверь особенно осторожен. Место для засады при охоте с манком надо выбирать с хорошим обзором. Не лишним в таком случае будет бинокль.<br/>Охота окладом флажками<br/>Для охоты на лисиц окладом из кумача изготавливают флажки, которые нанизывают на прочный шнур. Стандартная длина флажков до 2 километров, расстояние между флажками на шнуре примерно 1 метр, можно чуть меньше. Обходить лису и обкладывать ее флажками проще по глубокому снегу. Это связано с тем, что лиса в это время не ложится близко с дорогой. Надо заметить, охота таким способом требует большого опыта и умения ориентироваться. Отыскав лисий след, охотник очень осторожно должен обложить зверя по кругу. Для ускорения этого процесса можно действовать вдвоем, идя в разные стороны. Флажки вешают на высоте уровня глаз зверя - это примерно 10 сантиметров над поверхностью снежного покрова. При нахождении на номере следует помнить о двух основных моментах: в первую очередь, необходимо соблюдать жесткую дисциплину, а во-вторых, быть крайне осторожным и не выдать себя никаким, даже самым малейшим движением.<br/>Охота на лисиц с собаками<br/>С собаками на лису обычно охотятся в степи, одним или несколькими охотниками. Заметив зверя, выпускают борзых и начинают травлю. Надо заметить, охота с собаками менее добычлива, нежели с манком, например, но привлекает своей особой романтичностью. Увидев лисицу, охотник подходит к ней против ветра, прячась за каким-либо прикрытием. Подойдя на достаточно близкое расстояние, он отвязывает собаку и отдает ему команду. Натренированный пес, завидев лисицу, догонит его и задушит.&
